Date,DIS,WBD,SONY
2015-01-02,85.36593627929688,34.47999954223633,3.8645882606506348
2015-01-05,84.11846160888672,33.060001373291016,3.808199167251587
2015-01-06,83.6722640991211,31.979999542236328,3.806319236755371
2015-01-07,84.52822875976562,32.209999084472656,4.0469160079956055
2015-01-08,85.40234375,32.470001220703125,4.052555084228516
2015-01-09,85.82122802734375,32.029998779296875,4.011201858520508
2015-01-12,86.01243591308594,31.639999389648438,4.0149617195129395
2015-01-13,86.67716217041016,31.209999084472656,3.981127977371216
2015-01-14,85.80302429199219,30.0,3.8909037113189697
2015-01-15,85.91229248046875,29.469999313354492,3.934136390686035
2015-01-16,86.66806030273438,29.420000076293945,3.8852646350860596
2015-01-20,86.26740264892578,29.25,3.9134600162506104
2015-01-21,85.74838256835938,29.459999084472656,4.118342399597168
2015-01-22,86.64073944091797,30.059999465942383,4.167214870452881
2015-01-23,86.24917602539062,29.84000015258789,4.248040199279785
2015-01-26,86.47684478759766,30.059999465942383,4.39277458190918
2015-01-27,85.56626892089844,30.049999237060547,4.3345046043396
2015-01-28,84.38253021240234,29.780000686645508,4.409691333770752
2015-01-29,84.88333129882812,29.739999771118164,4.4303669929504395
2015-01-30,82.8254623413086,28.989999771118164,4.377737045288086
2015-02-02,83.70870208740234,29.280000686645508,4.385254383087158
2015-02-03,85.68464660644531,29.56999969482422,4.396533012390137
2015-02-04,92.22251892089844,30.100000381469727,4.875848770141602
2015-02-05,93.46090698242188,29.190000534057617,5.041258811950684
2015-02-06,92.89635467529297,29.90999984741211,4.994266986846924
2015-02-09,92.6323013305664,30.049999237060547,4.828855037689209
2015-02-10,92.80529022216797,30.84000015258789,4.898403167724609
2015-02-11,92.759765625,30.600000381469727,4.90592098236084
2015-02-12,94.31684112548828,30.350000381469727,5.095767974853516
2015-02-13,94.85408782958984,31.450000762939453,5.131481647491455
2015-02-17,94.80854797363281,30.799999237060547,4.999905586242676
2015-02-18,94.57181549072266,30.899999618530273,5.266818523406982
2015-02-19,94.59912109375,31.100000381469727,5.14463996887207
2015-02-20,95.20011138916016,30.93000030517578,5.123963832855225
2015-02-23,95.60074615478516,32.34000015258789,5.08073091506958
2015-02-24,95.30935668945312,33.0,5.2141876220703125
2015-02-25,96.12886810302734,32.939998626708984,5.204789638519287
2015-02-26,95.2092056274414,32.45000076293945,5.287494659423828
2015-02-27,94.77213287353516,32.29999923706055,5.323207855224609
2015-03-02,96.42025756835938,32.650001525878906,5.283734321594238
2015-03-03,96.83912658691406,33.9900016784668,5.231104373931885
2015-03-04,96.12886810302734,33.79999923706055,5.242380619049072
2015-03-05,95.63717651367188,33.560001373291016,5.2743353843688965
2015-03-06,94.5353775024414,33.08000183105469,5.17095422744751
2015-03-09,95.84660339355469,32.810001373291016,5.125843524932861
2015-03-10,93.87067413330078,32.369998931884766,4.994266986846924
2015-03-11,93.68855285644531,32.400001525878906,5.045016765594482
2015-03-12,97.58578491210938,32.38999938964844,5.0995283126831055
2015-03-13,96.92106628417969,32.029998779296875,4.9923858642578125
2015-03-16,97.76791381835938,32.599998474121094,4.853291988372803
2015-03-17,97.39457702636719,32.11000061035156,5.028100967407227
2015-03-18,98.31423950195312,31.649999618530273,5.283734321594238
2015-03-19,97.76791381835938,31.81999969482422,5.234864234924316
2015-03-20,98.73310089111328,32.45000076293945,5.246140956878662
2015-03-23,98.54188537597656,32.54999923706055,5.221706867218018
2015-03-24,97.53116607666016,32.5099983215332,5.182233810424805
2015-03-25,95.60985565185547,31.549999237060547,5.01682186126709
2015-03-26,95.82838439941406,30.93000030517578,4.9886274337768555
2015-03-27,96.04694366455078,31.270000457763672,5.0337395668029785
2015-03-30,96.62969207763672,31.09000015258789,5.0920090675354
2015-03-31,95.50968933105469,30.760000228881836,5.0337395668029785
2015-04-01,96.01050567626953,30.90999984741211,5.123963832855225
2015-04-02,96.52043151855469,32.150001525878906,5.234864234924316
2015-04-06,96.18350219726562,32.709999084472656,5.5168137550354
2015-04-07,96.00139617919922,32.91999816894531,5.445385932922363
